ax,ay,az
13124,-8256,2668
13316,-8972,160
14168,-7716,-1360
13984,-7284,-2660
13692,-7908,-3488
12876,-7764,-5180
13104,-7636,-6544
13596,-8500,-4560
13092,-8844,-3488
13424,-9236,-1072
13012,-8908,824
12924,-9492,2964
10948,-11288,4324
10744,-10256,6972
9872,-10228,7836
8376,-9452,10012
7544,-10028,11384
6196,-11420,11768
4884,-11192,11280
3860,-11784,10484
2460,-12372,10756
2648,-11828,11372
2672,-12192,11604
2096,-12684,13452
3792,-11628,12884
6672,-10136,13864
7980,-9484,11908
9476,-9000,9608
11016,-8184,8592
11564,-8596,7428
12564,-8808,7000
13076,-8112,4820
12756,-8900,2604
13368,-8308,5612
12348,-9764,5656
12564,-9120,5660
11472,-9608,5940
9584,-9732,9176
8568,-10504,9940
7328,-11500,9408
6564,-11168,9344
5716,-11700,11108
6268,-11820,10228
5260,-11904,10688
4996,-12060,9496
3844,-12772,10152
3708,-12872,10052
2612,-13680,9584
2468,-13120,9112
3192,-13228,11044
2164,-13688,9148
1808,-13816,9916
820,-14604,7776
716,-14544,8372
180,-14620,6892
-624,-15276,6592
-748,-16020,7672
-280,-14524,6932
-8,-13124,7328
-3044,-14436,8736
-4016,-14432,8528
-4764,-12984,10080
-5960,-11792,10428
-7476,-12048,10052
-7376,-9848,8684
-8712,-9636,8360
-9512,-9824,9588
-10964,-9588,8044
-11252,-8468,7564
-12292,-8796,7208
-12588,-9048,8224
-12072,-8312,8996
-11160,-8184,10784
-8584,-7540,10000
-6144,-6872,11688
-5160,-7620,12660
-3712,-7344,14048
-1852,-6768,13740
-640,-7216,14504
52,-8320,14536
1204,-8724,14056
1488,-9128,13724
2240,-10232,13316
2488,-11132,12548
2328,-12164,10912
2700,-13068,9768
2896,-13564,7408
1896,-15320,7912
1924,-15852,7432
2572,-14924,6640
1372,-14216,7656
2000,-11464,9124
1084,-11820,12224
1520,-11112,12120
180,-9312,12592
256,-8424,15476
252,-6764,15608
756,-4480,13716
-316,-4220,16792
468,-2552,17604
476,588,16592
84,2028,17240
328,2936,17036
8,4040,16156
80,5468,14956
-452,7052,15944
112,8836,14560
-628,10188,14624
-1712,10484,14556
-3568,11188,12520
-3756,11796,11668
-3240,11996,11952
-3628,11800,12604
-2948,10808,12052
-3016,10096,13704
-1528,9068,14164
-932,7088,15232
-340,5716,14704
-468,4376,16484
-444,3272,17324
-524,1088,16388
-404,-548,17508
-312,-1524,18440
876,-428,17172
