ax,ay,az
1224,-1484,16476
1264,-1568,17324
1384,-1628,17044
1460,-1372,17512
1324,-1388,17324
908,-1872,16972
2208,-372,17364
1828,-704,16704
884,-364,16560
2176,-452,17184
1660,-1256,17604
1368,-1204,16752
856,-1996,16840
1188,-1068,16728
1096,-1740,17084
1392,-1520,16980
1356,-1408,17084
1172,-2004,16968
1612,-1012,16852
1200,-1804,16836
1672,-1212,17068
1552,-1436,17164
1176,-1484,16808
1376,-1080,16452
1868,240,17524
1164,-1276,17340
1096,-1652,16712
1140,-1588,16824
1528,-1936,17348
1288,-2140,17368
1304,-1836,16584
1280,-1264,17316
1428,-1376,17076
1768,-684,16872
1516,-808,16632
1656,-256,16952
1316,-1908,17100
1464,-1988,17152
1816,-1992,16816
1456,-2004,16880
1296,-1948,16792
1480,-1596,16732
400,-2244,16140
1912,-180,17328
1320,-592,17448
1368,-1064,17184
1488,-1340,17096
1716,-1792,17480
1348,-2440,16824
1004,-2432,16676
1460,-1236,16952
1880,-1380,17140
1376,-2028,17320
580,-2156,15404
1372,-1540,16388
1328,-2028,17876
2004,-968,17748
1892,-848,17312
1516,-1192,16908
1244,-1916,16076
876,-2728,15188
1132,-2504,16152
2680,304,18704
1200,-964,17780
884,-1464,16532
1968,-388,17252
1552,-900,16712
1396,-1424,17208
1320,-1960,16696
836,-2644,16048
1556,-1312,17268
1696,-1168,17052
1676,-1156,17160
1076,-1488,16788
1540,-1216,16756
2628,88,17428
1212,-2772,16908
1360,-2340,17296
1536,-2256,16896
2192,-1188,16900
2036,-1284,16336
1612,-1308,16340
1260,-1988,16992
2056,-1392,17476
1832,-1900,16960
1388,-1672,16812
1560,-1568,17268
1644,-1552,16988
1704,-1112,16652
1436,-760,16968
1356,-924,17236
952,-1248,17344
1324,-1316,17192
872,-1800,17440
536,-2280,16756
380,-1984,16432
1144,-676,17348
628,-1240,17888
496,-1896,17128
672,-1472,16732
752,-1252,17552
768,-1376,17376
956,-1372,17340
932,-1360,17312
1120,-1048,17040
996,-904,17040
840,-1132,16032
48,-1736,17468
